date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:53	30466/30466	---M--	200	added ('OK')	image/png	etag:W/%227702-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-web-img.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-web-img.png	(from https://www.icmarkets.com/css/pages/metatrader-web.css?d22a619ce9673cdc000cc8eb939512b7)
21:21:53	153591/153591	---M--	200	added ('OK')	image/png	etag:W/%22257f7-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-web-btm-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-web-btm-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-web.css?d22a619ce9673cdc000cc8eb939512b7)
21:21:53	41499/41499	---M--	200	added ('OK')	image/png	etag:W/%22a21b-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-web-facts-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-web-facts-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-web.css?d22a619ce9673cdc000cc8eb939512b7)
21:21:54	41664/41664	---M--	200	added ('OK')	image/jpeg	etag:W/%22a2c0-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-ios-banner.jpg	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-ios-banner.jpg	(from https://www.icmarkets.com/css/pages/metatrader-iphone.css?f7a22b03f2a309bef942a8876866ecd9)
21:21:54	49380/49380	---M--	200	added ('OK')	image/png	etag:W/%22c0e4-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-ios-img.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-ios-img.png	(from https://www.icmarkets.com/css/pages/metatrader-iphone.css?f7a22b03f2a309bef942a8876866ecd9)
21:22:00	41499/41499	---M--	200	added ('OK')	image/png	etag:W/%22a21b-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-ios-facts-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-ios-facts-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-iphone.css?f7a22b03f2a309bef942a8876866ecd9)
21:22:01	45525/45525	---M--	200	added ('OK')	image/jpeg	etag:W/%22b1d5-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-android-banner.jpg	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-android-banner.jpg	(from https://www.icmarkets.com/css/pages/metatrader-android.css?5ffaca6a43d30fd4d691b07e607bd215)
21:22:01	58088/58088	---M--	200	added ('OK')	image/png	etag:W/%22e2e8-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-android-img.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-android-img.png	(from https://www.icmarkets.com/css/pages/metatrader-android.css?5ffaca6a43d30fd4d691b07e607bd215)
21:22:02	153591/153591	---M--	200	added ('OK')	image/png	etag:W/%22257f7-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-android-btm-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-android-btm-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-android.css?5ffaca6a43d30fd4d691b07e607bd215)
21:22:02	41499/41499	---M--	200	added ('OK')	image/png	etag:W/%22a21b-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-android-facts-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-android-facts-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-android.css?5ffaca6a43d30fd4d691b07e607bd215)
21:22:02	37640/37640	---M--	200	added ('OK')	image/jpeg	etag:W/%229308-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-macos-banner.jpg	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-macos-banner.jpg	(from https://www.icmarkets.com/css/pages/metatrader-mac.css?ad424685232b6b71e7237a3a676ab602)
21:22:02	46659/46659	---M--	200	added ('OK')	image/png	etag:W/%22b643-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-macos-img.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-macos-img.png	(from https://www.icmarkets.com/css/pages/metatrader-mac.css?ad424685232b6b71e7237a3a676ab602)
21:22:03	153591/153591	---M--	200	added ('OK')	image/png	etag:W/%22257f7-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-macos-btm-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-macos-btm-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-mac.css?ad424685232b6b71e7237a3a676ab602)
